6252954;0,76;1560;110457;2014;"600";6,47;30.05.14 20:11:12;"2456808";"3"
6211893;1,96;1276;211163;2014;"200";21,92;25.05.14 22:04:27;"2456803";"5"
6211896;1,96;1276;211163;2014;"200";21,92;25.05.14 22:08:01;"2456803";"5"
6212566;1,47;1250;211163;2014;"300";28,14;25.05.14 23:55:07;"2456803";"5"
6212420;1,47;1250;211163;2014;"100";20,58;25.05.14 23:39:29;"2456803";"5"
6212561;1,47;1250;211163;2014;"100";20,54;25.05.14 23:46:36;"2456803";"5"
6212563;1,47;1250;211163;2014;"100";20,7;25.05.14 23:50:14;"2456803";"5"
6212413;1,47;1250;211163;2014;"100";20,76;25.05.14 23:29:34;"2456803";"5"
6212418;1,47;1250;211163;2014;"100";20,79;25.05.14 23:32:21;"2456803";"5"
6212419;1,47;1250;211163;2014;"100";20,76;25.05.14 23:37:06;"2456803";"5"
5977948;1,17;1725;207638;2014;"300";6,81;26.04.14 15:53:54;"2456774";"3"
6077603;0,9;1665;209573;2014;"300";4,88;09.05.14 03:51:28;"2456787";"3"
5600475;1;1565;105199;2014;"200";29,17;10.03.14 19:45:45;"2456727";"3"
6262971;1,43;1235;311446;2014;"100";20,52;01.06.14 01:26:57;"2456810";"2"
6262976;1,43;1235;311446;2014;"100";20,4;01.06.14 01:29:39;"2456810";"2"
6263115;1,43;1235;311446;2014;"100";20,36;01.06.14 02:03:05;"2456810";"2"
6262981;1,43;1235;311446;2014;"100";20,47;01.06.14 01:35:11;"2456810";"2"
6263133;1,43;1235;311446;2014;"100";20,75;01.06.14 02:09:17;"2456810";"2"
6262964;1,43;1235;311446;2014;"100";20,6;01.06.14 01:32:30;"2456810";"2"
6263120;1,43;1235;311446;2014;"100";20,69;01.06.14 01:47:40;"2456810";"2"
6263122;1,43;1235;311446;2014;"100";20,54;01.06.14 02:00:16;"2456810";"2"
6263288;1,43;1235;311446;2014;"100";20,41;01.06.14 02:14:19;"2456810";"2"
6263118;1,43;1235;311446;2014;"100";20,52;01.06.14 01:44:42;"2456810";"2"
6266482;1,19;1505;211288;2014;"300";6,1;01.06.14 12:13:09;"2456810";"1"
6266479;1,19;1505;211288;2014;"300";12,35;01.06.14 12:29:32;"2456810";"1"
6263129;1,43;1235;311446;2014;"100";20,5;01.06.14 01:53:58;"2456810";"2"
6262983;1,43;1235;311446;2014;"100";20,55;01.06.14 01:40:24;"2456810";"2"
